--çHèÍó†
Index|["Gedou","Rust Frog","Male Kyusui","Dancing Eye","Horn Frog","Root Deceiver","Unihorn","Stab Mouth","Spatula Mouth","Crab Eater","Pipe Ears","Big Unihorn","Male Stye","Female Stye","Female Kyusui","Big Crab Eater","Suihou","Wansui"]|0
Pot Crab|[100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|100
Big Scissors|[100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|100
Rust Imposter|[70,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0]|100
Frog Deceiver|[0,0,0,0,30,70,0,0,0,0,0,0,0,0,0,0,0,0]|100
Demon Crab|[0,0,0,0,0,0,0,70,0,0,30,0,0,0,0,0,0,0]|100
Gedou|[0,0,0,0,30,70,0,0,0,0,0,0,0,0,0,0,0,0]|100
Rust Frog|[0,0,0,0,0,70,0,30,0,0,0,0,0,0,0,0,0,0]|100
Male Kyusui|[0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0]|100
Dancing Eye|[0,0,0,0,0,70,0,30,0,0,0,0,0,0,0,0,0,0]|100
Horn Frog|[0,0,0,0,0,0,20,70,0,0,10,0,0,0,0,0,0,0]|100
Root Deceiver|[0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0]|100
Unihorn|[0,0,0,0,0,0,0,0,0,0,0,10,70,20,0,0,0,0]|100
Stab Mouth|[0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0]|100
Spatula Mouth|[0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0]|100
Crab Eater|[0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0]|100
Pipe Ears|[0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0]|100
Big Unihorn|[0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0]|100
Male Stye|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|0
Female Stye|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|0
Female Kyusui|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|0
Big Crab Eater|[0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0]|100
Suihou|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|0
