--êÖñÂëO
Index|["Gedou","Rust Frog","Male Kyusui","Dancing Eye","Horn Frog","Root Deceiver","Unihorn","Stab Mouth","Spatula Mouth","Crab Eater","Pipe Ears","Big Unihorn","Male Stye","Female Stye","Female Kyusui","Big Crab Eater","Suihou","Wansui"]|0
Pot Crab|[0,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|100
Big Scissors|[0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|100
Rust Imposter|[0,60,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0]|100
Frog Deceiver|[0,0,0,0,60,0,0,0,0,40,0,0,0,0,0,0,0,0]|100
Demon Crab|[0,0,0,0,0,0,0,0,0,60,40,0,0,0,0,0,0,0]|100
Gedou|[0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0]|100
Rust Frog|[0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0]|100
Male Kyusui|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0]|100
Dancing Eye|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|0
Horn Frog|[0,0,0,0,0,0,40,0,0,0,60,0,0,0,0,0,0,0]|100
Root Deceiver|[0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0]|100
Unihorn|[0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0]|100
Stab Mouth|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|0
Spatula Mouth|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|0
Crab Eater|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|0
Pipe Ears|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|0
Big Unihorn|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|0
Male Stye|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|0
Female Stye|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|0
Female Kyusui|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|0
Big Crab Eater|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|0
Suihou|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100]|100
